class,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
0,0.419417736637448,-0.3144571196652741,0.2465798275115164,-0.04659626812939165,-0.184497955376984,0.04979054269853984,-0.4068769132824121,0.11685748389678505,-0.12286751154572445,0.06420137863499202,-0.06836061305550567,-0.11352016768948656,-0.08010020183411824,0.06065236388433728,0.04545512430388193
0,0.272196344097974,-0.2630551187155116,0.25858448566805753,-0.06987396440727972,-0.04423844495395672,0.07458219411055267,-0.350014105510892,0.06509627775947027,-0.028300473378280438,0.08311074901381195,-0.06675566135196584,-0.07501958214938928,-0.033899830855645664,0.019628848777272875,-0.0414364031148898
1,-0.017827970681695973,0.20405485810582985,-0.3335955047009317,-0.026553089921791027,-0.0989745819083144,-0.03941444319221113,-0.06027831904174542,0.007489268517978509,0.04304381844415185,-0.025039901806456686,0.007297166802237056,-0.004727227844947301,-0.00021181523654878245,0.010289273514840021,0.011283361710586136
1,-0.2511644879903999,0.23639820070592898,-0.40032834906248893,-0.11143981336292083,-0.017010526205463464,-0.021224486522624555,-0.06852952052742355,0.029905960010226506,-0.03627805138448111,0.009337508144081037,-0.00938991463542893,0.0014079795518967572,-0.014872109724180238,-0.026739774953333104,-0.0009387143516386699
1,-0.6097482356260021,-0.008621648064178155,0.4028049323244666,0.15697264397296384,0.0103525834041837,0.02972807885719185,0.056435339801928684,-0.0075776233946880205,-0.05966145223415696,-0.021384304702731245,0.017246684365743982,-0.029644643174342625,0.07024553327712088,0.04480922799564965,-0.04209451403952738
1,0.23860165128420194,-0.17526948545644866,-0.010333515714101156,-0.0064074817870083105,-0.0840150777513621,-0.06332591076038224,-0.05676119652037751,0.031831957431646886,0.17380918775545953,-0.1590341802627349,0.14321384321547645,-0.04987412178893984,0.005950151637996157,0.10022795984075826,0.05091957042255376
1,-0.2341972211984124,0.29372049292293645,-0.3733951332561989,-0.04485687443154054,0.0021791273547809484,-0.015245097139670953,-0.06419346982117359,0.018545027932637428,-0.03987739229173926,0.008471843915672475,0.006796759954199791,0.0021220479854871846,-0.05650964170061425,-0.03958589973586658,-0.019195393361644303
1,0.6216894456172743,2.110932936370557,1.7344649094264943,-2.612398958600288,-0.11783259036494495,-0.6297325276501979,0.2989492662505092,0.13249958528321468,-0.06868340239247135,-0.05133533939126725,0.04041866512805817,-0.028937964153168037,-0.02442404294166484,-0.011918574538309204,0.1124197056796931
0,0.4473867176383898,-0.3055275056731104,0.2788849613994529,-0.07786841683723056,-0.08510057453662256,0.12410473037888838,-0.5352479587591604,0.14329819881471098,-0.17235903826597312,0.04043690467345158,-0.1147050067984062,-0.07311583140768188,-0.09978582743821217,0.023960891206826214,-0.02535304127018938
1,-0.5975152661002531,0.02607401222393034,0.33911966322286097,0.12247664422676295,0.021813327088236464,0.02412702627533812,-0.0032147732826555103,0.002383165588592534,0.02038956426916756,0.012981652658678832,-0.024664068174977308,-0.03284884940759145,-0.034185188667867315,-0.05437070745893317,0.048391630584138125
1,-0.27521931521976795,0.2524584817511153,-0.3432335582337721,-0.08822692429119157,-0.12168823480724478,0.03383986265024037,-0.0919638133201761,0.04244388871302992,-0.005330004716352435,0.010259205271371336,0.009366411292745515,0.017078575714758643,-0.004791829449189551,-0.015114001190740809,-0.04082131720315255
0,0.3172956128580718,-0.2680171668874156,0.2326308032981275,-0.02248207070910953,-0.1533821608202847,0.05557749418288744,-0.3316406680072888,0.11474438751487945,-0.10637176460755482,0.033260380060787034,-0.02981928741675764,-0.10643811266472357,-0.008097406105062892,0.006165887861557591,-0.030205029445432338
0,0.13092972403039824,0.0251755483372885,0.1288375782946003,-0.2319755955626147,0.06848701907722836,0.14805270884668476,0.033382310410490085,0.008274115989050973,-0.006841965524203113,-0.028744891740918682,-0.025708916533644374,0.12661410460180145,0.04827520819191499,0.15824959869891828,-0.2457536286283042
1,-0.20586755878291885,0.3678640068863786,-0.4748848952607717,-0.0779744944157317,-0.0005195175457855137,-0.002288252510582048,-0.12035586593521246,0.013455481035800498,-0.008043439574690047,0.03646630080092453,-0.02054709302419608,0.009267907314068092,-0.002242722923662892,0.029184712297324618,0.0012293693941393912
0,0.30542963133279,-0.2182987305045281,0.2269952321960217,-0.12185780057806228,-0.007838434736860368,-0.04145244408060015,-0.2694783646146279,-0.06382831390615841,0.4264864075108376,0.20328612238990854,0.010900316698843449,0.1780251630049673,0.11982943073573005,-0.011717656132674422,0.022012682320778097
0,0.06025251643198616,-0.1526271285235791,-0.021036746407051183,-0.049682180599647255,0.3767357073211717,-0.06806157564361334,0.0627977919674022,-0.031345060997056105,-0.025709547657941752,0.03711369440447637,-0.022699080729359427,-0.0096539476606291,-0.019441148474619592,0.01497948278060188,0.003809773926679207
